CustomerID,Name,Age,Email,Signup_Date,Purchase_Amount,City,Phone
1,Customer_1,56.0,user1@mail.com,01/02/2023,4197.72,Chennai,9406835598
2,Customer_2,69.0,user2@mail.com,2023-01-02,3325.97,Madurai,9959638753
3,Customer_3,46.0,user3@mail.com,2023-01-03,1284.5,Madurai,9276881769
4,Customer_4,32.0,user4@mail.com,2023-01-04,2112.61,COIMBATORE,9819332214
5,Customer_5,60.0,user5@mail.com,2023-01-05,3513.53,Coimbatore,9831799979
6,Customer_6,25.0,user6@mail.com,2023-01-06,,COIMBATORE,9549115440
7,Customer_7,38.0,user7@mail.com,2023-01-07,2855.06,COIMBATORE,9965650535
8,Customer_8,56.0,user8@mail.com,2023-01-08,3119.71,chennai,9685963466
9,Customer_9,36.0,user9@mail.com,2023-01-09,1758.46,Chennai,9633520700
10,Customer_10,40.0,user10@mail.com,2023-01-10,,Coimbatore,9986806466
11,Customer_11,28.0,user11@mail.com,2023-01-11,-93.01,Trichy,9728015738
12,Customer_12,28.0,user12@mail.com,2023-01-12,1680.49,Trichy,9235661445
13,Customer_13,41.0,user13@mail,2023-01-13,2297.95,Madurai,9507062536
14,Customer_14,53.0,user14@mail.com,2023-01-14,1501.77,Madurai,9899775493
15,Customer_15,57.0,user15@mail.com,2023-01-15,3805.93,Trichy,9600812872
16,Customer_16,41.0,user16@mail.com,2023-01-16,1355.89,Madurai,9323214950
17,Customer_17,20.0,user17@mail.com,2023-01-17,2147.96,Chennai,9585091550
18,Customer_18,39.0,user18@mail.com,2023-01-18,,COIMBATORE,9277366431
19,Customer_19,19.0,user19@mail.com,2023-01-19,3653.02,Madurai,9309748520
20,Customer_20,41.0,user20@mail.com,2023-01-20,1351.31,chennai,9997908081
21,Customer_21,61.0,user21@mail.com,2023-01-21,3430.53,Madurai,9895435723
22,Customer_22,47.0,user22@mail.com,2023-01-22,2508.19,Coimbatore,9619558407
23,Customer_23,55.0,user23@mail.com,2023-01-23,1714.79,Chennai,9947613767
24,Customer_24,19.0,user24@mail.com,01/02/2023,2869.68,Coimbatore,9638179419
25,Customer_25,38.0,user25@mail.com,2023-01-25,2659.25,Coimbatore,9322170429
26,Customer_26,50.0,user26@mail,2023-01-26,2019.83,chennai,9243549523
27,Customer_27,29.0,user27@mail.com,2023-01-27,2555.84,Chennai,9484185661
28,Customer_28,39.0,user28@mail.com,2023-01-28,2191.75,Chennai,9582144366
29,Customer_29,61.0,user29@mail.com,2023-01-29,2590.81,Chennai,9378421754
30,Customer_30,42.0,user30@mail.com,2023-01-30,3029.7,Chennai,9444090630
